A,B,C,D,E,F,G,H,I,J,K,L,Class
87124.5,87802.5,407.91615,1376.544,532.87125,313.66815,1.2126,1.48845,1.0908,1.30005,2.5482,1.14825,M
127279.5,128895,493.0374,1787.4,748.4406,327.90435,1.34835,1.48125,1.0326,1.1265,3.42375,0.9882,P
132396,133797,502.84965,1729.9995,681.8817,373.29795,1.2552,1.48425,0.9645,1.2507,2.7399,1.1061,M
138553.5,139608,514.41,1832.8485,749.35665,353.9952,1.3221,1.4886,0.89745,1.1661,3.17535,1.02975,P
119046,120103.5,476.82405,1793.349,775.32405,293.60145,1.38825,1.4868,0.79155,1.04655,3.96105,0.9225,P
122359.5,123943.5,483.4143,1649.3205,622.4253,376.35735,1.19475,1.4808,1.1109,1.27185,2.4807,1.16505,M
122916,124500,484.51245,1835.0595,786.8211,299.3334,1.3872,1.48095,1.0071,1.032,3.9429,0.9237,P
140653.5,142491,518.2938,1782.5415,695.29035,388.6455,1.2438,1.48065,1.0926,1.2516,2.6835,1.1181,M
107176.5,108621,452.4291,1616.718,634.14285,324.8739,1.2882,1.48005,0.96075,1.15935,2.928,1.0701,M
126057,127578,490.66395,1737.816,690.83265,350.14665,1.293,1.48215,1.0635,1.1802,2.9595,1.06545,M
116274,117430.5,471.23985,1688.0685,695.49615,320.1315,1.3317,1.4853,0.91665,1.15365,3.25875,1.0164,P
109989,111513,458.3268,1572.9705,613.1835,344.454,1.24095,1.47945,1.07475,1.25685,2.6703,1.12125,M
116022,117465,470.72895,1655.0565,678.04455,328.00005,1.3128,1.48155,0.9993,1.1976,3.1008,1.0413,P
105969,107101.5,449.87325,1574.2245,628.13715,324.6219,1.28415,1.4841,0.9345,1.209,2.9025,1.0743,M
110325,111712.5,459.0264,1614.2115,654.97155,322.7277,1.3053,1.4814,1.1193,1.19715,3.04425,1.0512,M
92028,92994,419.238,1446.5325,572.00145,309.456,1.2615,1.4844,1.0719,1.2435,2.7726,1.09935,M
135328.5,136459.5,508.3881,1825.272,757.62915,341.81325,1.3386,1.48755,0.92025,1.14855,3.32475,1.0065,P
113500.5,114553.5,465.5856,1585.4115,620.87985,350.38905,1.23825,1.4862,1.08825,1.2768,2.658,1.12485,M
98442,99610.5,433.6017,1486.797,571.4397,333.77205,1.21755,1.48245,1.08525,1.2591,2.56815,1.1382,M
122233.5,123388.5,483.16545,1766.733,745.5288,314.30925,1.3602,1.4859,1.08675,1.1073,3.558,0.97215,P
105696,106542,449.29335,1543.0575,609.48945,333.5019,1.2555,1.48815,1.0731,1.25505,2.74125,1.1058,M
114367.5,115794,467.36055,1632.2385,641.1384,341.8752,1.269,1.48155,0.9807,1.2138,2.8131,1.0935,M
113179.5,114736.5,464.9268,1617.8385,630.27465,344.44215,1.25625,1.4796,0.98175,1.22265,2.7447,1.10655,M
117484.5,119167.5,473.6865,1729.134,714.9414,316.5741,1.3449,1.47885,1.002,1.11105,3.3876,0.9939,P
116703,117735,472.10835,1631.2005,653.27625,342.351,1.27755,1.4868,0.9528,1.24005,2.8623,1.08405,P
132906,134088,503.81715,1865.655,793.1706,321.7236,1.371,1.4868,0.93735,1.0797,3.6981,0.9528,P
141105,142201.5,519.12495,1921.149,822.6879,328.2495,1.3755,1.48845,1.0899,1.0809,3.75945,0.9465,P
149482.5,150742.5,534.3132,1843.7385,716.15925,400.1403,1.24395,1.4874,1.03215,1.24335,2.6847,1.11915,M
154924.5,156115.5,543.9522,2045.559,888.0975,334.608,1.38945,1.4886,1.11945,1.04685,3.98115,0.91875,P
110745,111865.5,459.89925,1574.9415,613.43805,346.87335,1.2372,1.485,0.9753,1.2624,2.65275,1.12455,M
107620.5,108646.5,453.36525,1559.022,615.28755,335.079,1.25805,1.4859,1.11675,1.2519,2.7543,1.1052,M
119179.5,120637.5,477.0912,1659.861,621.59895,369.15195,1.2069,1.48185,1.06125,1.2231,2.52585,1.15125,M
105061.5,106183.5,447.94275,1526.673,589.3098,345.3525,1.21545,1.4841,1.09455,1.27455,2.5596,1.14015,M
101742,102643.5,440.80935,1492.671,583.79415,333.6627,1.2309,1.4868,1.0203,1.29105,2.62455,1.13265,M
146392.5,148191,528.76185,1825.0425,695.47965,405.4221,1.21875,1.48185,1.03785,1.24275,2.5731,1.14045,M
107842.5,109017,453.8325,1547.2965,606.6159,341.33145,1.24005,1.4838,1.0302,1.27365,2.6658,1.12215,M
102412.5,103314,442.25955,1535.5785,619.50735,316.5576,1.2894,1.48695,1.0701,1.22805,2.9355,1.07085,M
119266.5,120427.5,477.26535,1675.8735,682.7241,335.23005,1.30665,1.4856,0.99645,1.20075,3.0549,1.04865,P
100804.5,101766,438.7737,1496.862,585.8142,329.69505,1.2399,1.4859,1.0515,1.272,2.6652,1.1235,M
135358.5,138906,508.44435,1947.525,807.03165,326.9598,1.37145,1.46175,0.76065,1.00905,3.70245,0.945,M
117177,118350,473.0661,1685.181,695.98245,322.1454,1.3296,1.48515,1.12575,1.1667,3.24075,1.01955,P
155524.5,157062,545.00445,1859.6535,715.0071,416.27445,1.2195,1.4853,1.01745,1.27155,2.5764,1.1433,M
96835.5,97584,430.0491,1444.2015,557.2791,334.10625,1.2006,1.48845,1.07955,1.31265,2.502,1.15755,M
103158,104517,443.8662,1571.7285,635.6973,313.25775,1.3053,1.4805,0.9996,1.18065,3.04395,1.0473,M
137569.5,138588,512.58015,1897.173,814.60395,323.3517,1.3767,1.48905,1.0611,1.08075,3.77895,0.9438,P
120892.5,121939.5,480.50775,1762.812,746.0715,311.1915,1.36335,1.4871,0.87225,1.09995,3.59625,0.96615,P
134416.5,135753,506.6721,1856.865,786.8841,328.2084,1.36335,1.4853,0.81435,1.1022,3.59625,0.96585,P
109861.5,110731.5,458.06115,1524.6135,576.5934,366.11295,1.15875,1.48815,1.07115,1.33635,2.36235,1.1916,M
140580,141820.5,518.15835,1789.491,709.0839,379.35045,1.26735,1.48695,1.02165,1.24125,2.8038,1.09605,P
118653,119998.5,476.03625,1680.465,646.305,351.6969,1.2585,1.4832,0.99795,1.188,2.75655,1.1049,M
164593.5,165814.5,560.6697,2000.8905,834.49965,377.9952,1.33725,1.4889,1.13685,1.16235,3.31155,1.00785,P
124686,125628,487.9884,1766.679,747.58035,319.85205,1.3557,1.48875,0.9165,1.1295,3.50595,0.9792,P
118522.5,119557.5,475.77435,1598.607,611.8644,371.3856,1.19205,1.48695,1.083,1.3113,2.47125,1.1664,M
118269,119323.5,475.2654,1742.661,744.2559,304.7067,1.36845,1.4868,1.158,1.10115,3.66375,0.9579,P
132396,133566,502.84965,1734.5925,691.50705,366.8535,1.27155,1.4868,1.15275,1.2441,2.8275,1.0908,M
158559,160104,550.2957,1852.347,692.3346,438.795,1.16025,1.4856,1.0953,1.30665,2.3667,1.1922,M
134296.5,136129.5,506.4459,1720.788,656.1048,392.3007,1.2024,1.47975,1.1169,1.28235,2.50875,1.15785,M
125598,126888,489.7698,1821.288,777.39585,310.42725,1.3752,1.4847,0.90675,1.07055,3.75645,0.945,P
127317,128940,493.11015,1833.816,781.4358,313.09185,1.3743,1.4811,1.10025,1.0704,3.74385,0.9465,P
120930,122316,480.5823,1672.9575,664.4517,350.7678,1.27395,1.48305,0.9507,1.22175,2.84145,1.08495,M
116977.5,118087.5,472.6632,1693.7655,696.1008,322.1418,1.32975,1.4859,1.101,1.1529,3.24135,1.0185,P
137802,139132.5,513.01305,1856.2185,772.32315,343.2981,1.3437,1.4856,0.97875,1.13085,3.37455,0.9963,P
124912.5,126237,488.4315,1688.3925,646.63785,370.8816,1.2288,1.48425,1.062,1.239,2.61525,1.13295,M
124791,126037.5,488.1939,1814.4765,776.28645,307.7787,1.377,1.48515,1.10985,1.07175,3.7833,0.94335,P
133864.5,134982,505.63065,1840.401,773.5779,331.77195,1.3551,1.48755,0.83295,1.1175,3.49755,0.9804,P
126054,129543,490.6581,1802.2425,750.38325,326.8341,1.3503,1.45965,1.143,1.09725,3.44385,0.98085,P
149122.5,150945,533.6694,1910.0445,781.77375,366.3285,1.3251,1.48185,0.9384,1.15575,3.20115,1.0239,P
96999,97776,430.41195,1501.8885,607.3335,306.528,1.29495,1.48815,0.9357,1.2159,2.97195,1.06305,P
144880.5,145848,526.02405,1803.264,716.0343,387.49395,1.26135,1.4901,0.9795,1.2597,2.77185,1.1019,M
110026.5,111247.5,458.40495,1600.152,641.1465,330.201,1.2858,1.4835,0.9381,1.215,2.91255,1.0725,M
113370,114406.5,465.31785,1632.2445,662.67195,327.6288,1.3038,1.48635,1.1373,1.20315,3.0339,1.0533,M
108010.5,109362,454.1859,1601.589,644.04915,321.8067,1.2993,1.4814,0.95745,1.19055,3.0021,1.0578,M
120031.5,121027.5,478.79355,1812.81,793.3977,289.22955,1.3968,1.4877,1.1598,1.03275,4.11465,0.90525,P
105262.5,106410,448.371,1544.8755,586.30065,344.2311,1.21425,1.4838,1.09935,1.2471,2.5548,1.14705,M
118434,119496,475.59675,1582.845,592.32465,383.7768,1.14255,1.48665,1.1079,1.3365,2.3151,1.20435,M
91707,92629.5,418.5063,1429.884,556.90695,317.0559,1.23315,1.485,1.10865,1.26825,2.63475,1.12725,M
89784,90834,414.0951,1468.2615,610.6395,282.34185,1.33005,1.4826,1.11705,1.1775,3.2442,1.01715,P
120429,121495.5,479.5857,1681.587,680.93865,340.13835,1.29945,1.4868,1.04325,1.2042,3.00285,1.05645,P
132967.5,134445,503.9337,1765.494,697.2396,365.72775,1.2771,1.4835,1.10595,1.20615,2.8596,1.0842,M
98317.5,99459,433.32735,1453.1445,549.8964,343.41675,1.1715,1.48275,1.03995,1.3164,2.40195,1.182,M
115936.5,117472.5,470.5554,1620.7545,634.72665,351.6852,1.24875,1.48035,0.9846,1.24785,2.7072,1.1121,M
122022,123183,482.74725,1736.1705,723.34815,323.51325,1.3416,1.4859,0.8589,1.14465,3.35385,1.0011,P
111177,112494,460.7955,1657.257,689.7159,309.8952,1.3401,1.48245,0.9153,1.1445,3.3384,1.00215,P
119176.5,120417,477.0852,1627.437,636.2121,358.95375,1.2384,1.48455,1.1346,1.2723,2.6586,1.12485,M
121887,123967.5,482.4801,1753.5465,716.8785,326.7672,1.33515,1.4748,1.0812,1.1208,3.29085,1.0095,M
115755,117309,470.187,1631.43,629.205,352.61115,1.2423,1.4802,1.0929,1.2297,2.6766,1.12095,M
127971,129534,494.37495,1780.557,713.26845,344.53425,1.3134,1.48185,0.93825,1.14135,3.1053,1.03965,P
125169,126936,488.93265,1791.057,722.472,332.23965,1.332,1.47915,1.03485,1.10325,3.2619,1.01505,M
126709.5,128047.5,491.9322,1736.382,686.2695,354.04245,1.28505,1.4844,0.9435,1.1883,2.9076,1.0752,M
118599,119424,475.92795,1556.043,568.15545,399.81885,1.06575,1.48965,1.17015,1.38495,2.1315,1.25655,M
101977.5,102937.5,441.3192,1501.5525,586.60605,333.89655,1.2333,1.48605,1.095,1.2789,2.6352,1.12845,M
150057,151674,535.3389,1938.99,802.0734,358.956,1.34145,1.48395,1.12545,1.12845,3.35175,1.0011,P
94383,95736,424.56825,1462.2465,561.3039,324.2016,1.22445,1.47885,1.1349,1.24815,2.59695,1.1346,M
99306,100942.5,435.50025,1510.1145,481.2669,418.95015,0.73815,1.4757,0.94725,1.2312,1.72305,1.35735,M
142224,144114,521.1792,1817.685,728.8665,376.2558,1.28475,1.48035,1.0878,1.2171,2.9058,1.07265,P
109384.5,110385,457.0656,1568.661,619.48935,339.0882,1.25535,1.48635,1.1088,1.25685,2.74035,1.1067,M
147847.5,149191.5,531.3831,1887.675,755.90445,374.8686,1.3026,1.4865,1.0653,1.17315,3.02475,1.0545,M
90217.5,91236,415.09365,1408.0515,536.35485,321.9267,1.1997,1.4832,1.0206,1.28655,2.49915,1.16085,M
105226.5,106251,448.29435,1522.44,591.8973,340.42335,1.22715,1.4856,1.0296,1.28355,2.60805,1.1361,M
92278.5,93340.5,419.8083,1447.041,573.2712,308.4654,1.26435,1.4829,1.0092,1.24605,2.78775,1.09845,M
96906,97812,430.20555,1500.372,605.9721,306.4782,1.29405,1.48605,0.97965,1.2171,2.9658,1.06485,M
134946,135808.5,507.669,1699.989,647.6502,398.63865,1.18215,1.4904,1.1301,1.3203,2.43705,1.17585,M
122409,123721.5,483.5121,1647.7815,650.11515,360.67155,1.248,1.4841,1.12335,1.2747,2.70375,1.11555,M
143638.5,144972,523.7646,1892.286,786.42135,351.4125,1.3419,1.4862,1.08735,1.13415,3.35685,0.999,P
109560,110805,457.4322,1541.4615,586.92345,358.5999,1.1874,1.4832,1.09725,1.30365,2.45505,1.1691,M
112665,114157.5,463.86885,1592.6955,626.14095,346.6302,1.2492,1.48035,1.00575,1.2558,2.7096,1.1112,M
145746,147027,527.59305,1840.2465,735.37545,381.62535,1.2822,1.48695,1.10835,1.2168,2.8905,1.0761,P
130291.5,131802,498.83715,1666.5525,625.18065,400.31805,1.15215,1.48275,1.0722,1.32645,2.34255,1.19685,M
115365,116617.5,469.39425,1720.32,725.38125,305.3343,1.36065,1.48395,1.14435,1.1022,3.56355,0.97065,P
135964.5,137049,509.5812,1740.918,679.72275,382.9254,1.2393,1.48815,1.12575,1.2684,2.66265,1.12455,M
109717.5,110782.5,457.76085,1605.6015,647.2365,325.716,1.29615,1.4856,1.12695,1.2033,2.98065,1.06095,M
93157.5,93979.5,421.803,1484.814,592.1034,304.20435,1.28685,1.48695,0.99765,1.19475,2.9196,1.0686,M
127974,128856,494.3808,1822.4835,778.25175,314.6691,1.3719,1.4898,1.06695,1.08945,3.7098,0.9528,P
128989.5,129961.5,496.33845,1809.1605,761.2104,324.5574,1.35675,1.48875,1.02795,1.11435,3.5181,0.978,P
137737.5,139108.5,512.89305,1767.813,684.19125,386.35035,1.23795,1.48515,1.10415,1.2462,2.65635,1.1244,M
110368.5,111613.5,459.11685,1606.635,649.05225,326.17515,1.2969,1.4832,1.08975,1.209,2.98485,1.0611,M
81817.5,83175,395.29725,1511.6895,662.3757,240.94005,1.39725,1.47555,1.12215,1.01235,4.12365,0.8952,P
111783,112839,462.0495,1557.1755,592.61685,361.5438,1.18845,1.4859,1.1112,1.3035,2.45865,1.16955,M
94516.5,95266.5,424.8684,1441.7445,557.33835,324.891,1.21875,1.48815,1.09515,1.28565,2.57325,1.14345,M
148105.5,149625,531.84645,2006.8605,864.8868,331.1913,1.3857,1.4847,0.77205,1.0398,3.9171,0.92235,P
125064,126097.5,488.7276,1715.484,701.6985,341.02275,1.311,1.4877,1.12275,1.20165,3.0864,1.04475,P
87565.5,88698,408.9471,1386.504,521.5032,321.6441,1.18065,1.4808,1.0449,1.2879,2.4321,1.1763,M
119241,120310.5,477.21435,1696.794,700.55115,326.39925,1.3272,1.48665,1.12485,1.17105,3.21945,1.0218,P
102927,104458.5,443.36895,1606.9875,665.17785,300.79245,1.33785,1.47795,1.19895,1.12695,3.3171,0.99975,P
91579.5,93441,418.21515,1465.068,579.4491,305.0844,1.2753,1.47015,0.9939,1.2063,2.84895,1.08255,M
122839.5,124630.5,484.36155,1690.9515,662.27685,356.28825,1.2645,1.4784,1.07715,1.2147,2.7882,1.0971,M
152406,153657,539.5128,1827.954,701.8272,415.545,1.20885,1.48785,1.1307,1.2897,2.53335,1.15305,M
124803,125832,488.2173,1692.8025,670.74225,356.56065,1.2705,1.4877,1.0047,1.23135,2.82165,1.09185,M
141028.5,143833.5,518.98425,1822.7025,706.22295,383.42415,1.2597,1.47075,1.12515,1.2003,2.76285,1.10235,M
126195,127371,490.93245,1716.8355,684.9051,352.896,1.2855,1.4862,1.1334,1.2105,2.9112,1.0752,P
97807.5,98853,432.20205,1438.9785,539.62935,347.4072,1.1478,1.4841,1.1229,1.3356,2.32995,1.20135,M
102496.5,103453.5,442.4409,1504.38,594.83235,330.489,1.2471,1.48605,1.11345,1.28055,2.69985,1.1157,M
122605.5,123861,483.9,1716.6915,703.69515,334.34205,1.31985,1.48485,1.1031,1.1763,3.15705,1.03155,M
128557.5,131023.5,495.50655,1760.826,664.6479,379.22955,1.2318,1.4718,0.89085,1.1724,2.6289,1.11825,M
102862.5,103981.5,443.23005,1519.521,564.177,350.37315,1.1757,1.4838,1.04745,1.25955,2.4153,1.1784,M
144966,147420,526.1793,1877.8785,723.63735,391.80435,1.26105,1.4751,1.13745,1.16235,2.77035,1.09065,P
97344,99160.5,431.17665,1558.974,645.17985,289.60395,1.3404,1.47255,0.95625,1.1325,3.3417,1.00245,M
107943,108885,454.044,1593.1755,633.17925,328.30635,1.28265,1.48695,1.06965,1.2024,2.8929,1.07565,M
113347.5,114250.5,465.2718,1655.2095,684.9978,316.85235,1.3299,1.48815,1.0761,1.1697,3.24285,1.0188,P
107880,108805.5,453.9114,1665.45,706.87995,292.16385,1.3659,1.48725,1.1379,1.09965,3.62925,0.96315,P
121210.5,122394,481.13925,1700.4,696.4416,334.07295,1.3161,1.48545,1.131,1.1853,3.12705,1.03635,P
97653,98686.5,431.8605,1496.97,589.76685,317.865,1.26345,1.48425,1.09875,1.2321,2.7831,1.09845,M
139891.5,140937,516.88785,1844.043,763.9515,351.2625,1.332,1.4889,1.1253,1.1631,3.26235,1.0149,P
132577.5,133882.5,503.1942,1841.076,775.2279,327.5316,1.3596,1.48545,1.07055,1.10595,3.55035,0.97365,P
119820,121248,478.3716,1778.109,765.06225,300.88035,1.3791,1.4823,0.85065,1.0716,3.81405,0.93795,P
95428.5,96540,426.91335,1532.109,638.18895,286.818,1.33995,1.48275,1.11225,1.14945,3.33765,1.00335,P
98178,99097.5,433.01985,1519.074,614.02335,306.25155,1.30005,1.48605,1.1187,1.203,3.0075,1.0578,M
195106.5,197569.5,610.431,2237.919,932.5623,400.95315,1.35435,1.48125,0.89145,1.10145,3.48885,0.9819,P
129757.5,130840.5,497.81385,1716.942,679.401,366.48405,1.263,1.48755,1.08645,1.24455,2.7807,1.09905,M
98064,98952,432.7683,1578.3675,670.35825,279.8571,1.36305,1.4865,0.94605,1.113,3.5931,0.9684,P
141744,144145.5,520.299,1999.932,817.95675,335.7456,1.36785,1.47495,0.92655,1.002,3.6543,0.95415,P
108429,109545,455.06505,1578.579,632.72535,328.2027,1.28235,1.4847,0.9615,1.2303,2.8917,1.0788,M
111478.5,113101.5,461.4198,1707.234,723.5535,295.8792,1.3689,1.47855,1.0329,1.0815,3.6681,0.95655,P
102094.5,103308,441.5724,1541.2995,615.7098,319.04805,1.28295,1.48245,0.97665,1.21515,2.8947,1.0758,M
104886,105795,447.5685,1510.1355,582.71025,344.5428,1.20975,1.4871,1.0929,1.30035,2.53695,1.15215,M
107868,108748.5,453.8862,1566.066,624.9978,330.92055,1.27245,1.48785,1.1211,1.2435,2.83305,1.0893,P
119743.5,120975,478.21875,1888.728,843.3468,272.32395,1.4196,1.4847,1.15785,0.94905,4.64535,0.8505,P
127413,128518.5,493.296,1716.915,691.56225,352.76415,1.29015,1.4871,1.11555,1.22205,2.9406,1.06995,P
132055.5,133321.5,502.20255,1715.175,643.47915,393.2238,1.1874,1.48575,1.09245,1.26915,2.4546,1.1706,M
113380.5,114517.5,465.33945,1720.9635,730.7922,297.7191,1.36995,1.48515,1.0941,1.0824,3.6819,0.9552,P
126091.5,127254,490.73115,1896.273,828.79065,291.6996,1.404,1.48635,1.13295,0.9915,4.2618,0.88815,P
156754.5,158206.5,547.15545,1884.114,726.79845,412.93155,1.23435,1.4862,1.1229,1.2486,2.64015,1.1292,M
101343,102697.5,439.94415,1525.8945,575.54745,343.04715,1.2045,1.4802,0.9489,1.2306,2.51655,1.1466,P
118305,119136,475.3377,1621.5645,645.0642,351.2949,1.25805,1.4895,1.06815,1.27215,2.7543,1.10535,M
113772,114931.5,466.1421,1609.9515,646.7904,337.30215,1.27995,1.48485,1.0239,1.2411,2.87625,1.08105,P
99261,100396.5,435.40155,1477.6335,549.74415,347.6571,1.1619,1.48305,1.0338,1.28535,2.37195,1.188,M
149809.5,151192.5,534.8973,2041.5735,895.62885,320.72685,1.40055,1.48635,1.1736,1.01625,4.18875,0.8958,P
99187.5,100135.5,435.2403,1583.655,664.7547,287.86035,1.3521,1.48575,1.0893,1.11825,3.46395,0.98205,P
112288.5,113230.5,463.09305,1614.588,655.96575,329.1405,1.2975,1.48755,1.08705,1.21785,2.9895,1.059,P
121899,123610.5,482.5038,1760.529,715.4544,328.77195,1.3323,1.4793,1.0524,1.11195,3.26415,1.0116,M
145876.5,147100.5,527.82915,1931.5395,808.10175,345.8496,1.3557,1.48755,0.85905,1.1055,3.5049,0.9798,P
160173,161089.5,553.08945,1974.4965,819.6765,375.54465,1.33335,1.49145,0.97905,1.1616,3.2739,1.0122,P
157221,158934,547.9689,1871.7465,706.4952,426.8154,1.19535,1.4838,1.0995,1.26885,2.48295,1.1634,M
142543.5,143827.5,521.76435,1773.4905,668.049,410.87265,1.18275,1.48665,1.04205,1.28145,2.43885,1.1715,M
102094.5,102990,441.5724,1529.2395,606.36585,322.2687,1.27065,1.48695,0.9702,1.23435,2.8224,1.0923,M
112560,114723,463.6527,1709.2575,674.6925,323.9097,1.3158,1.47165,0.8946,1.0893,3.1245,1.0308,M
107688,108717,453.5073,1543.1565,603.5457,342.71655,1.23465,1.48575,1.1232,1.2786,2.64165,1.1271,M
103950,104886,445.5669,1560.7815,636.5565,313.0191,1.30605,1.48665,1.10385,1.20645,3.0504,1.05,P
99450,101361,435.81585,1672.641,561.10545,341.9868,1.1892,1.47165,1.1061,1.005,2.46105,1.16505,M
122101.5,123060,482.90445,1795.0575,781.97145,298.6311,1.3863,1.4883,1.1715,1.07145,3.92775,0.92625,P
101289,102610.5,439.827,1522.428,596.3895,326.1543,1.2558,1.48065,1.0794,1.23555,2.74275,1.10625,M
115834.5,116629.5,470.3484,1592.2065,630.31185,351.46965,1.24515,1.4898,1.13505,1.29195,2.6901,1.1193,M
104235,105328.5,446.17725,1662.9315,715.0404,279.0831,1.38105,1.4844,0.78495,1.06575,3.84315,0.936,P
103224,104104.5,444.00825,1494.1215,581.41395,341.36505,1.21425,1.48725,1.1313,1.3074,2.5548,1.14555,M
134361,136380,506.56755,1859.3295,789.0441,328.47105,1.3638,1.4778,0.93015,1.0989,3.6033,0.963,P
129631.5,130665,497.57205,1705.788,679.05945,365.46525,1.2642,1.48815,1.12965,1.2597,2.78715,1.09905,M
157789.5,158949,548.95875,1994.4825,842.8242,358.44495,1.35765,1.48905,0.9039,1.12155,3.52695,0.97695,P
100026,100953,437.07615,1575.5655,660.92595,289.4253,1.3485,1.4862,1.0875,1.13925,3.4254,0.99195,P
130282.5,131263.5,498.8199,1693.6455,662.78325,376.8789,1.2339,1.48875,1.08735,1.28415,2.6379,1.1289,M
104025,105373.5,445.72755,1556.1045,627.4059,317.9169,1.29315,1.4808,1.12035,1.2147,2.96025,1.0656,M
80331,81123,391.68975,1382.4975,558.1254,276.1026,1.30365,1.4853,0.93915,1.1883,3.0321,1.0527,P
115605,116700,469.8822,1729.245,729.7176,303.7842,1.3638,1.4859,0.85725,1.09305,3.60315,0.96585,P
116307,117499.5,471.30675,1816.0035,790.35675,281.97285,1.4013,1.48485,0.8043,0.9972,4.2045,0.89445,P
130225.5,131742,498.7107,1763.0025,693.95865,361.94415,1.2798,1.48275,1.035,1.1847,2.87595,1.0779,M
151164,152650.5,537.3099,1882.8075,762.00345,380.3025,1.2999,1.48545,1.011,1.2057,3.00555,1.05765,P
148117.5,149188.5,531.86805,1935.135,811.56705,349.4397,1.3539,1.4892,0.8736,1.1184,3.48375,0.9831,P
122401.5,124039.5,483.49725,1643.724,627.62775,374.4357,1.20375,1.4802,1.1268,1.28085,2.5143,1.1556,M
100185,101335.5,437.4234,1517.1885,602.2059,318.99225,1.2723,1.4829,1.11975,1.2306,2.8317,1.0896,M
158562,160137,550.30095,1948.062,804.4131,377.90265,1.3242,1.4853,1.09995,1.1814,3.1929,1.02615,P
129018,130063.5,496.3932,1817.901,773.7132,321.2319,1.36455,1.488,1.14915,1.10385,3.6129,0.9624,P
151980,154134,538.75815,1897.6455,766.41675,380.5365,1.302,1.479,1.12215,1.19325,3.021,1.0545,P
110916,112063.5,460.2543,1660.158,691.0104,307.37745,1.3434,1.4847,1.077,1.1379,3.37215,0.99915,P
118573.5,119919,475.8768,1701.6675,700.69335,325.13505,1.3287,1.4832,1.09695,1.15785,3.23265,1.0188,M
129160.5,130318.5,496.66725,1689.0675,646.61535,381.89175,1.2105,1.48665,1.0437,1.2801,2.5398,1.15215,M
85561.5,86908.5,404.24055,1372.0125,520.03845,316.45605,1.19025,1.47675,1.07205,1.2852,2.46495,1.16595,M
113838,115011,466.2774,1679.1915,696.9843,313.7088,1.3395,1.4847,1.09245,1.1415,3.3327,1.0035,P
109876.5,110769,458.09235,1685.3565,709.63575,297.69915,1.3617,1.48785,0.8091,1.0938,3.57555,0.96825,P
113455.5,114574.5,465.49335,1751.5995,762.22005,285.24015,1.39095,1.4853,1.0041,1.0455,4.0083,0.91605,P
113565,114783,465.7179,1565.289,593.2665,366.82815,1.17885,1.4841,1.1118,1.31055,2.42595,1.1775,M
144267,145564.5,524.90925,1871.556,767.86215,360.03855,1.32495,1.48665,1.11915,1.1646,3.19905,1.0254,M
102438,103336.5,442.3146,1473.078,553.03005,355.7481,1.1484,1.48695,1.0818,1.3347,2.3319,1.1997,M
129682.5,131010,497.66985,1741.6065,694.62495,357.23475,1.2864,1.48485,1.0236,1.20885,2.9166,1.07475,M
132979.5,134206.5,503.9565,1679.8275,631.2666,404.60175,1.1514,1.48635,1.0695,1.33245,2.3403,1.19745,M
101643,102810,440.59485,1703.0505,759.05715,259.3209,1.4097,1.4829,1.16625,0.9909,4.39065,0.87075,P
